id,identifier,species_id,height,weight,base_experience,order,is_default
509,Purrloin,509,4,101,56,606,1
510,Liepard,510,11,375,156,607,1
511,Pansage,511,6,105,63,608,1
512,Simisage,512,11,305,174,609,1
513,Pansear,513,6,110,63,610,1
514,Simisear,514,10,280,174,611,1
515,Panpour,515,6,135,63,612,1
516,Simipour,516,10,290,174,613,1
517,Munna,517,6,233,58,614,1
518,Musharna,518,11,605,170,615,1
519,Pidove,519,3,21,53,616,1
520,Tranquill,520,6,150,125,617,1
521,Unfezant,521,12,290,220,618,1
522,Blitzle,522,8,298,59,619,1
523,Zebstrika,523,16,795,174,620,1
524,Roggenrola,524,4,180,56,621,1
525,Boldore,525,9,1020,137,622,1
526,Gigalith,526,17,2600,232,623,1
527,Woobat,527,4,21,65,624,1
528,Swoobat,528,9,105,149,625,1
529,Drilbur,529,3,85,66,626,1
530,Excadrill,530,7,404,178,627,1
531,Audino,531,11,310,390,628,1
532,Timburr,532,6,125,61,630,1
533,Gurdurr,533,12,400,142,631,1
534,Conkeldurr,534,14,870,227,632,1
535,Tympole,535,5,45,59,633,1
536,Palpitoad,536,8,170,134,634,1
537,Seismitoad,537,15,620,229,635,1
538,Throh,538,13,555,163,636,1
539,Sawk,539,14,510,163,637,1
540,Sewaddle,540,3,25,62,638,1
541,Swadloon,541,5,73,133,639,1
542,Leavanny,542,12,205,225,640,1
543,Venipede,543,4,53,52,641,1
544,Whirlipede,544,12,585,126,642,1
545,Scolipede,545,25,2005,218,643,1
546,Cottonee,546,3,6,56,644,1
547,Whimsicott,547,7,66,168,645,1
548,Petilil,548,5,66,56,646,1
549,Lilligant,549,11,163,168,647,1
550,Basculin-Red-Striped,550,10,180,161,648,1
551,Sandile,551,7,152,58,650,1
552,Krokorok,552,10,334,123,651,1
553,Krookodile,553,15,963,234,652,1
554,Darumaka,554,6,375,63,653,1
555,Darmanitan-Standard,555,13,929,168,654,1
556,Maractus,556,10,280,161,656,1
557,Dwebble,557,3,145,65,657,1
558,Crustle,558,14,2000,170,658,1
559,Scraggy,559,6,118,70,659,1
560,Scrafty,560,11,300,171,660,1
561,Sigilyph,561,14,140,172,661,1
562,Yamask,562,5,15,61,662,1
563,Cofagrigus,563,17,765,169,663,1
564,Tirtouga,564,7,165,71,664,1
565,Carracosta,565,12,810,173,665,1
566,Archen,566,5,95,71,666,1
567,Archeops,567,14,320,177,667,1
568,Trubbish,568,6,310,66,668,1
569,Garbodor,569,19,1073,166,669,1
570,Zorua,570,7,125,66,670,1
571,Zoroark,571,16,811,179,671,1
572,Minccino,572,4,58,60,672,1
573,Cinccino,573,5,75,165,673,1
574,Gothita,574,4,58,58,674,1
575,Gothorita,575,7,180,137,675,1
576,Gothitelle,576,15,440,221,676,1
577,Solosis,577,3,10,58,677,1
578,Duosion,578,6,80,130,678,1
579,Reuniclus,579,10,201,221,679,1
580,Ducklett,580,5,55,61,680,1
581,Swanna,581,13,242,166,681,1
582,Vanillite,582,4,57,61,682,1
583,Vanillish,583,11,410,138,683,1
584,Vanilluxe,584,13,575,241,684,1
585,Deerling,585,6,195,67,685,1
586,Sawsbuck,586,19,925,166,686,1
587,Emolga,587,4,50,150,687,1
588,Karrablast,588,5,59,63,688,1
589,Escavalier,589,10,330,173,689,1
590,Foongus,590,2,10,59,690,1
591,Amoonguss,591,6,105,162,691,1
592,Frillish,592,12,330,67,692,1
593,Jellicent,593,22,1350,168,693,1
594,Alomomola,594,12,316,165,694,1
595,Joltik,595,1,6,64,695,1
596,Galvantula,596,8,143,165,696,1
597,Ferroseed,597,6,188,61,697,1
598,Ferrothorn,598,10,1100,171,698,1
599,Klink,599,3,210,60,699,1
600,Klang,600,6,510,154,700,1
601,Klinklang,601,6,810,234,701,1
602,Tynamo,602,2,3,55,702,1
603,Eelektrik,603,12,220,142,703,1
604,Eelektross,604,21,805,232,704,1
605,Elgyem,605,5,90,67,705,1
606,Beheeyem,606,10,345,170,706,1
607,Litwick,607,3,31,55,707,1
608,Lampent,608,6,130,130,708,1
609,Chandelure,609,10,343,234,709,1
610,Axew,610,6,180,64,710,1
611,Fraxure,611,10,360,144,711,1
612,Haxorus,612,18,1055,243,712,1
613,Cubchoo,613,5,85,61,713,1
614,Beartic,614,26,2600,177,714,1
615,Cryogonal,615,11,1480,180,715,1
616,Shelmet,616,4,77,61,716,1
617,Accelgor,617,8,253,173,717,1
618,Stunfisk,618,7,110,165,718,1
619,Mienfoo,619,9,200,70,719,1
620,Mienshao,620,14,355,179,720,1
621,Druddigon,621,16,1390,170,721,1
622,Golett,622,10,920,61,722,1
623,Golurk,623,28,3300,169,723,1
624,Pawniard,624,5,102,68,724,1
625,Bisharp,625,16,700,172,725,1
626,Bouffalant,626,16,946,172,726,1
627,Rufflet,627,5,105,70,727,1
628,Braviary,628,15,410,179,728,1
629,Vullaby,629,5,90,74,729,1
630,Mandibuzz,630,12,395,179,730,1
631,Heatmor,631,14,580,169,731,1
632,Durant,632,3,330,169,732,1
633,Deino,633,8,173,60,733,1
634,Zweilous,634,14,500,147,734,1
635,Hydreigon,635,18,1600,270,735,1
636,Larvesta,636,11,288,72,736,1
637,Volcarona,637,16,460,248,737,1
638,Cobalion,638,21,2500,261,738,1
639,Terrakion,639,19,2600,261,739,1
640,Virizion,640,20,2000,261,740,1
641,Tornadus-Incarnate,641,15,630,261,741,1
642,Thundurus-Incarnate,642,15,610,261,743,1
643,Reshiram,643,32,3300,306,745,1
644,Zekrom,644,29,3450,306,746,1
645,Landorus-Incarnate,645,15,680,270,747,1
646,Kyurem,646,30,3250,297,749,1
647,Keldeo-Ordinary,647,14,485,261,752,1
648,Meloetta-Aria,648,6,65,270,754,1
649,Genesect,649,15,825,270,756,1
650,Chespin,650,4,90,63,757,1
651,Quilladin,651,7,290,142,758,1
652,Chesnaught,652,16,900,239,759,1
653,Fennekin,653,4,94,61,760,1
654,Braixen,654,10,145,143,761,1
655,Delphox,655,15,390,240,762,1
656,Froakie,656,3,70,63,763,1
657,Frogadier,657,6,109,142,764,1
658,Greninja,658,15,400,239,765,1
659,Bunnelby,659,4,50,47,768,1
660,Diggersby,660,10,424,148,769,1
661,Fletchling,661,3,17,56,770,1
662,Fletchinder,662,7,160,134,771,1
663,Talonflame,663,12,245,175,772,1
664,Scatterbug,664,3,25,40,773,1
665,Spewpa,665,3,84,75,774,1
666,Vivillon,666,12,170,185,775,1
667,Litleo,667,6,135,74,776,1
668,Pyroar,668,15,815,177,777,1
669,Flabebe,669,1,1,61,778,1
670,Floette,670,2,9,130,779,1
671,Florges,671,11,100,248,781,1
672,Skiddo,672,9,310,70,782,1
673,Gogoat,673,17,910,186,783,1
674,Pancham,674,6,80,70,784,1
675,Pangoro,675,21,1360,173,785,1
676,Furfrou,676,12,280,165,786,1
677,Espurr,677,3,35,71,787,1
678,Meowstic-Male,678,6,85,163,788,1
679,Honedge,679,8,20,65,790,1
680,Doublade,680,8,45,157,791,1
681,Aegislash-Shield,681,17,530,234,792,1
682,Spritzee,682,2,5,68,794,1
683,Aromatisse,683,8,155,162,795,1
684,Swirlix,684,4,35,68,796,1
685,Slurpuff,685,8,50,168,797,1
686,Inkay,686,4,35,58,798,1
687,Malamar,687,15,470,169,799,1
688,Binacle,688,5,310,61,800,1
689,Barbaracle,689,13,960,175,801,1
690,Skrelp,690,5,73,64,802,1
691,Dragalge,691,18,815,173,803,1
692,Clauncher,692,5,83,66,804,1
693,Clawitzer,693,13,353,100,805,1
694,Helioptile,694,5,60,58,806,1
695,Heliolisk,695,10,210,168,807,1
696,Tyrunt,696,8,260,72,808,1
697,Tyrantrum,697,25,2700,182,809,1
698,Amaura,698,13,252,72,810,1
699,Aurorus,699,27,2250,104,811,1
700,Sylveon,700,10,235,184,212,1
701,Hawlucha,701,8,215,175,812,1
702,Dedenne,702,2,22,151,813,1
703,Carbink,703,3,57,100,814,1
704,Goomy,704,3,28,60,815,1
705,Sliggoo,705,8,175,158,816,1
706,Goodra,706,20,1505,270,817,1
707,Klefki,707,2,30,165,818,1
708,Phantump,708,4,70,62,819,1
709,Trevenant,709,15,710,166,820,1
710,Pumpkaboo-Average,710,4,50,67,821,1
711,Gourgeist-Average,711,9,125,173,825,1
712,Bergmite,712,10,995,61,829,1
713,Avalugg,713,20,5050,180,830,1
714,Noibat,714,5,80,49,831,1
715,Noivern,715,15,850,187,832,1
716,Xerneas,716,30,2150,306,833,1
717,Yveltal,717,58,2030,306,834,1
718,Zygarde,718,50,3050,270,835,1
719,Diancie,719,7,88,270,839,1
720,Hoopa,720,5,90,270,841,1
721,Volcanion,721,17,1950,270,843,1
722,Rowlet,722,3,15,64,844,1
723,Dartrix,723,7,160,147,845,1
724,Decidueye,724,16,366,239,846,1
725,Litten,725,4,43,64,847,1
726,Torracat,726,7,250,147,848,1
727,Incineroar,727,18,830,239,849,1
728,Popplio,728,4,75,64,850,1
729,Brionne,729,6,175,147,851,1
730,Primarina,730,18,440,239,852,1
731,Pikipek,731,3,12,53,853,1
732,Trumbeak,732,6,148,124,854,1
733,Toucannon,733,11,260,218,855,1
734,Yungoos,734,4,60,51,856,1
735,Gumshoos,735,7,142,146,857,1
736,Grubbin,736,4,44,60,859,1
737,Charjabug,737,5,105,140,860,1
738,Vikavolt,738,15,450,225,861,1
739,Crabrawler,739,6,70,68,863,1
740,Crabominable,740,17,1800,167,864,1
741,Oricorio-Baile,741,6,34,167,865,1
742,Cutiefly,742,1,2,61,869,1
743,Ribombee,743,2,5,162,870,1
744,Rockruff,744,5,92,56,872,1
745,Lycanroc-Midday,745,8,250,170,874,1
746,Wishiwashi-Solo,746,2,3,61,877,1
747,Mareanie,747,4,80,61,879,1
748,Toxapex,748,7,145,173,880,1
749,Mudbray,749,10,1100,77,881,1
750,Mudsdale,750,25,9200,175,882,1
751,Dewpider,751,3,40,54,883,1
752,Araquanid,752,18,820,159,884,1
753,Fomantis,753,3,15,50,886,1
754,Lurantis,754,9,185,168,887,1
755,Morelull,755,2,15,57,889,1
756,Shiinotic,756,10,115,142,890,1
757,Salandit,757,6,48,64,891,1
758,Salazzle,758,12,222,168,892,1
759,Stufful,759,5,68,68,894,1
760,Bewear,760,21,1350,175,895,1
761,Bounsweet,761,3,32,42,896,1
762,Steenee,762,7,82,102,897,1
763,Tsareena,763,12,214,230,898,1
764,Comfey,764,1,3,170,899,1
765,Oranguru,765,15,760,172,900,1
766,Passimian,766,20,828,172,901,1
767,Wimpod,767,5,120,46,902,1
768,Golisopod,768,20,1080,186,903,1
769,Sandygast,769,5,700,64,904,1
770,Palossand,770,13,2500,168,905,1
771,Pyukumuku,771,3,12,144,906,1
772,Type-Null,772,19,1205,107,907,1
773,Silvally,773,23,1005,257,908,1
774,Minior-Red-Meteor,774,3,400,154,909,1
775,Komala,775,4,199,168,923,1
776,Turtonator,776,20,2120,170,924,1
777,Togedemaru,777,3,33,152,925,1
778,Mimikyu-Disguised,778,2,7,167,927,1
779,Bruxish,779,9,190,166,931,1
780,Drampa,780,30,1850,170,932,1
781,Dhelmise,781,39,2100,181,933,1
782,Jangmo-O,782,6,297,60,934,1
783,Hakamo-O,783,12,470,147,935,1
784,Kommo-O,784,16,782,270,936,1
785,Tapu-Koko,785,18,205,257,938,1
786,Tapu-Lele,786,12,186,257,939,1
787,Tapu-Bulu,787,19,455,257,940,1
788,Tapu-Fini,788,13,212,257,941,1
789,Cosmog,789,2,1,40,942,1
790,Cosmoem,790,1,9999,140,943,1
791,Solgaleo,791,34,2300,306,944,1
792,Lunala,792,40,1200,306,945,1
793,Nihilego,793,12,555,257,946,1
794,Buzzwole,794,24,3336,257,947,1
795,Pheromosa,795,18,250,257,948,1
796,Xurkitree,796,38,1000,257,949,1
797,Celesteela,797,92,9999,257,950,1
798,Kartana,798,3,1,257,951,1
799,Guzzlord,799,55,8880,257,952,1
800,Necrozma,800,24,2300,270,953,1
801,Magearna,801,10,805,270,957,1
802,Marshadow,802,7,222,270,959,1
803,Poipole,803,6,18,189,960,1
804,Naganadel,804,36,1500,243,961,1
805,Stakataka,805,55,8200,257,962,1
806,Blacephalon,806,18,130,257,963,1
807,Zeraora,807,15,445,270,964,1
10001,Deoxys-Attack,386,17,608,270,497,0
10002,Deoxys-Defense,386,17,608,270,498,0
10003,Deoxys-Speed,386,17,608,270,499,0
10004,Wormadam-Sandy,413,5,65,148,525,0
10005,Wormadam-Trash,413,5,65,148,526,0
10006,Shaymin-Sky,492,4,52,270,589,0
10007,Giratina-Origin,487,69,6500,306,583,0
10008,Rotom-Heat,479,3,3,182,570,0
10009,Rotom-Wash,479,3,3,182,571,0
10010,Rotom-Frost,479,3,3,182,572,0
10011,Rotom-Fan,479,3,3,182,573,0
10012,Rotom-Mow,479,3,3,182,574,0
10013,Castform-Sunny,351,3,8,147,447,0
10014,Castform-Rainy,351,3,8,147,448,0
10015,Castform-Snowy,351,3,8,147,449,0
10016,Basculin-Blue-Striped,550,10,180,161,649,0
10017,Darmanitan-Zen,555,13,929,189,655,0
10018,Meloetta-Pirouette,648,6,65,270,755,0
10019,Tornadus-Therian,641,14,630,261,742,0
10020,Thundurus-Therian,642,30,610,261,744,0
10021,Landorus-Therian,645,13,680,270,748,0
10022,Kyurem-Black,646,33,3250,315,751,0
10023,Kyurem-White,646,36,3250,315,750,0
10024,Keldeo-Resolute,647,14,485,261,753,0
10025,Meowstic-Female,678,6,85,163,789,0
10026,Aegislash-Blade,681,17,530,234,793,0
10027,Pumpkaboo-Small,710,3,35,67,822,0
10028,Pumpkaboo-Large,710,5,75,67,823,0
10029,Pumpkaboo-Super,710,8,150,67,824,0
10030,Gourgeist-Small,711,7,95,173,826,0
10031,Gourgeist-Large,711,11,140,173,827,0
10032,Gourgeist-Super,711,17,390,173,828,0
10033,Venusaur-Mega,3,24,1555,281,4,0
10034,Charizard-Mega-X,6,17,1105,285,8,0
10035,Charizard-Mega-Y,6,17,1005,285,9,0
10036,Blastoise-Mega,9,16,1011,284,13,0
10037,Alakazam-Mega,65,12,480,270,103,0
10038,Gengar-Mega,94,14,405,270,141,0
10039,Kangaskhan-Mega,115,22,1000,207,175,0
10040,Pinsir-Mega,127,17,590,210,197,0
10041,Gyarados-Mega,130,65,3050,224,201,0
10042,Aerodactyl-Mega,142,21,790,215,221,0
10043,Mewtwo-Mega-X,150,23,1270,351,231,0
10044,Mewtwo-Mega-Y,150,15,330,351,232,0
10045,Ampharos-Mega,181,14,615,275,261,0
10046,Scizor-Mega,212,20,1250,210,187,0
10047,Heracross-Mega,214,17,625,210,296,0
10048,Houndoom-Mega,229,19,495,210,315,0
10049,Tyranitar-Mega,248,25,2550,315,327,0
10050,Blaziken-Mega,257,19,520,284,338,0
10051,Gardevoir-Mega,282,16,484,278,365,0
10052,Mawile-Mega,303,10,235,168,390,0
10053,Aggron-Mega,306,22,3950,284,394,0
10054,Medicham-Mega,308,13,315,179,397,0
10055,Manectric-Mega,310,18,440,201,400,0
10056,Banette-Mega,354,12,130,194,453,0
10057,Absol-Mega,359,12,490,198,461,0
10058,Garchomp-Mega,445,19,950,315,553,0
10059,Lucario-Mega,448,13,575,219,556,0
10060,Abomasnow-Mega,460,27,1850,208,568,0
10061,Floette-Eternal,670,2,9,243,780,0
10062,Latias-Mega,380,18,520,315,486,0
10063,Latios-Mega,381,23,700,315,488,0
10064,Swampert-Mega,260,19,1020,286,342,0
10065,Sceptile-Mega,254,19,552,284,334,0
10066,Sableye-Mega,302,5,1610,168,388,0
10067,Altaria-Mega,334,15,206,207,429,0
10068,Gallade-Mega,475,16,564,278,367,0
10069,Audino-Mega,531,15,320,425,629,0
10070,Sharpedo-Mega,319,25,1303,196,412,0
10071,Slowbro-Mega,80,20,1200,207,122,0
10072,Steelix-Mega,208,105,7400,214,144,0
10073,Pidgeot-Mega,18,22,505,261,24,0
10074,Glalie-Mega,362,21,3502,203,464,0
10075,Diancie-Mega,719,11,278,315,840,0
10076,Metagross-Mega,376,25,9429,315,481,0
10077,Kyogre-Primal,382,98,4300,347,490,0
10078,Groudon-Primal,383,50,9997,347,492,0
10079,Rayquaza-Mega,384,108,3920,351,494,0
10080,Pikachu-Rock-Star,25,4,60,112,37,0
10081,Pikachu-Belle,25,4,60,112,38,0
10082,Pikachu-Pop-Star,25,4,60,112,39,0
10083,Pikachu-Phd,25,4,60,112,40,0
10084,Pikachu-Libre,25,4,60,112,41,0
10085,Pikachu-Cosplay,25,4,60,112,36,0
10086,Hoopa-Unbound,720,65,4900,306,842,0
10087,Camerupt-Mega,323,25,3205,196,417,0
10088,Lopunny-Mega,428,13,283,203,541,0
10089,Salamence-Mega,373,18,1126,315,477,0
10090,Beedrill-Mega,15,14,405,223,20,0
10091,Rattata-Alola,19,3,38,51,26,0
10092,Raticate-Alola,20,7,255,145,28,0
10093,Raticate-Totem-Alola,20,14,1050,145,29,0
10094,Pikachu-Original-Cap,25,4,60,112,42,0
10095,Pikachu-Hoenn-Cap,25,4,60,112,43,0
10096,Pikachu-Sinnoh-Cap,25,4,60,112,44,0
10097,Pikachu-Unova-Cap,25,4,60,112,45,0
10098,Pikachu-Kalos-Cap,25,4,60,112,46,0
10099,Pikachu-Alola-Cap,25,4,60,112,47,0
10100,Raichu-Alola,26,7,210,218,50,0
10101,Sandshrew-Alola,27,7,400,60,52,0
10102,Sandslash-Alola,28,12,550,158,54,0
10103,Vulpix-Alola,37,6,99,60,65,0
10104,Ninetales-Alola,38,11,199,177,67,0
10105,Diglett-Alola,50,2,10,53,83,0
10106,Dugtrio-Alola,51,7,666,149,85,0
10107,Meowth-Alola,52,4,42,58,87,0
10108,Persian-Alola,53,11,330,154,89,0
10109,Geodude-Alola,74,4,203,60,113,0
10110,Graveler-Alola,75,10,1100,137,115,0
10111,Golem-Alola,76,17,3160,223,117,0
10112,Grimer-Alola,88,7,420,65,133,0
10113,Muk-Alola,89,10,520,175,135,0
10114,Exeggutor-Alola,103,109,4156,186,153,0
10115,Marowak-Alola,105,10,340,149,156,0
10116,Greninja-Battle-Bond,658,15,400,239,766,0
10117,Greninja-Ash,658,15,400,288,767,0
10118,Zygarde-10,718,12,335,219,836,0
10119,Zygarde-50,718,50,3050,270,837,0
10120,Zygarde-Complete,718,45,6100,319,838,0
10121,Gumshoos-Totem,735,14,600,146,858,0
10122,Vikavolt-Totem,738,26,1475,225,862,0
10123,Oricorio-Pom-Pom,741,6,34,167,866,0
10124,Oricorio-Pau,741,6,34,167,867,0
10125,Oricorio-Sensu,741,6,34,167,868,0
10126,Lycanroc-Midnight,745,11,250,170,875,0
10127,Wishiwashi-School,746,82,786,217,878,0
10128,Lurantis-Totem,754,15,580,168,888,0
10129,Salazzle-Totem,758,21,810,168,893,0
10130,Minior-Orange-Meteor,774,3,400,154,910,0
10131,Minior-Yellow-Meteor,774,3,400,154,911,0
10132,Minior-Green-Meteor,774,3,400,154,912,0
10133,Minior-Blue-Meteor,774,3,400,154,913,0
10134,Minior-Indigo-Meteor,774,3,400,154,914,0
10135,Minior-Violet-Meteor,774,3,400,154,915,0
10136,Minior-Red,774,3,3,175,916,0
10137,Minior-Orange,774,3,3,175,917,0
10138,Minior-Yellow,774,3,3,175,918,0
10139,Minior-Green,774,3,3,175,919,0
10140,Minior-Blue,774,3,3,175,920,0
10141,Minior-Indigo,774,3,3,175,921,0
10142,Minior-Violet,774,3,3,175,922,0
10143,Mimikyu-Busted,778,2,7,167,928,0
10144,Mimikyu-Totem-Disguised,778,4,28,167,929,0
10145,Mimikyu-Totem-Busted,778,4,28,167,930,0
10146,Kommo-O-Totem,784,24,2075,270,937,0
10147,Magearna-Original,801,10,805,270,958,0
10148,Pikachu-Partner-Cap,25,4,60,112,48,0
10149,Marowak-Totem,105,17,980,149,157,0
10150,Ribombee-Totem,743,4,20,162,871,0
10151,Rockruff-Own-Tempo,744,5,92,56,873,0
10152,Lycanroc-Dusk,745,8,250,170,876,0
10153,Araquanid-Totem,752,31,2175,159,885,0
10154,Togedemaru-Totem,777,6,130,152,926,0
10155,Necrozma-Dusk,800,38,4600,306,954,0
10156,Necrozma-Dawn,800,42,3500,306,955,0
10157,Necrozma-Ultra,800,75,2300,339,956,0